Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
hiv1_2_antigen,iedea_2020_site_survey_english,,checkbox,"4.8b. HIV-1 p24 antigen test for acute HIV infection  (i.e., before HIV antibodies are detectable)","1, Provided in <br>HIV Clinic | 2, In same health facility<br> (but not at HIV clinic) | 3, Only offsite<br> (referral) | 77, Not available",,,,,,,y,,,hiv_diagnstic_tests,," @NONEOFTHEABOVE=3,77"
hiv_p24_antigen,iedea_2020_site_survey_english,,checkbox,"4.8c. Virologic assay tests (e.g., HIV RNA nucleic acid test, nucleic acid amplification test) for acute HIV infection","1, Provided in <br>HIV Clinic | 2, In same health facility<br> (but not at HIV clinic) | 3, Only offsite<br> (referral) | 77, Not available",,,,,,,y,,,hiv_diagnstic_tests,," @NONEOFTHEABOVE=3,77"
hiv_nat,iedea_2020_site_survey_english,,checkbox,4.8d. Supplemental HIV-1/HIV-2 antibody differentiation immunoassay,"1, Provided in <br>HIV Clinic | 2, In same health facility<br> (but not at HIV clinic) | 3, Only offsite<br> (referral) | 77, Not available",,,,,,,y,,,hiv_diagnstic_tests,," @NONEOFTHEABOVE=3,77"
hiv1_2_antibody,iedea_2020_site_survey_english,,checkbox,4.8e. DNA or RNA PCR for early infant diagnosis (EID),"1, Provided in <br>HIV Clinic | 2, In same health facility<br> (but not at HIV clinic) | 3, Only offsite<br> (referral) | 77, Not available",,,,,,,y,,,hiv_diagnstic_tests,," @NONEOFTHEABOVE=3,77"
entry_b,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">5. CARE FOR NEW PATIENTS <br>(PATIENTS NEWLY TESTING POSITIVE OR TRANSFERRING FROM ANOTHER SITE) </div>",checkbox,"5.1 During 2019, what were the most common entry points into HIV care for patients at this health facility? 



<i>Check all that apply.</i>","1, Voluntary counseling and testing (VCT) unit | 23, Maternal and child health services (e.g. Antenatal care, prevention of mother to child transmission, maternity/labor & delivery, under-5 clinic) | 4, Sexually transmitted infection (STI) treatment unit | 5, Tuberculosis (TB) unit | 6, Outpatient department | 8, Inpatient Hospitalization | 7, Referrals/transfers from other health facilities/sites | 88, Other",,,,,,,y,,,,,
entry_b_other,iedea_2020_site_survey_english,,text,"5.1a If Other, please specify",,,,,,,[entry_b(88)] = '1',y,,,,,
services_type_3_b,iedea_2020_site_survey_english,,checkbox,"5.2 During 2019, what type of support services were routinely provided to patients who receive a positive HIV test result at this health facility?



<i>Check all that apply OR select ""None"". 

<u>Routinely</u> provided means provided as the  standard of care.</i>","77, None | 12, Psychosocial support from nurse, social worker, counselor, mentor, etc. | 3, Partner disclosure counseling and support | 4, Referral to support groups | 5, Referral to community-based volunteers/workers | 88, Other",,,,,,,y,,,,, @NONEOFTHEABOVE=77
other_specify4,iedea_2020_site_survey_english,,text,"5.2a If Other, please specify",,,,,,,[services_type_3_b(88)] = '1',y,,,,,
screening_enrollment,iedea_2020_site_survey_english,,checkbox,"5.3	During 2019, which of the following screenings were routinely done <u>at the time of enrollment into HIV care</u> at this health facility (e.g. newly-diagnosed patients or patients who transfer to this site for HIV care)?


<i>Check all that apply or select ""None"". 
<u>Routinely</u> means provided as the standard of care at enrollment.</i> 
","77, None | 1, Pregnancy/breastfeeding | 2, Testing for latent tuberculosis infection (LTBI) | 3, Screening for tuberculosis (TB) disease | 4, Sexually-transmitted infection (STI) screening | 5, Hepatitis B screening | 6, Substance use disorders (alcohol, smoking, illicit drug use, etc.) | 7, Mental health disorders (depression, anxiety, post-traumatic stress)",,,,,,,y,,,,, @NONEOFTHEABOVE='77'
cotrimoxazole_meds,iedea_2020_site_survey_english,,checkbox,"5.4	What types of patients received Cotrimoxazole prophylaxis as the standard of care at the HIV clinic? 


<i>Check all that apply OR select ""None"".</i>
","77, None | 1, All patients | 2, Patients who meet a CD4 threshold | 3, Pregnant women | 4, Infants/children < 18 months | 5, Infants/children < 5 years | 6, Infants/children < 10 years | 7, TB patients | 88, Other",,,,,,,y,,,,," @NONEOFTHEABOVE='1,77'"
cotrimoxazole_other,iedea_2020_site_survey_english,,text,"If Other, please specify",,,,,,,[cotrimoxazole_meds(88)] = '1',y,,,,,
cd4_testing,iedea_2020_site_survey_english,,yesno,"5.5 	In 2019, was CD4 cell count testing done as the standard of care <u>prior to ART initiation</u> (for newly-enrolling patients)  or <u>prior to re-starting ART</u> (for patients re-entering care at this health facility? ",,,,,,,,y,RH,,,,
lab_cd4_b,iedea_2020_site_survey_english,,radio,5.6 Where is the laboratory that conducted the majority of the CD4 cell count testing for this HIV clinic in 2019?,"1, Onsite, at the same health facility as the HIV clinic | 23, Offsite | 77, Not available",,,,,,,y,,,,,
sameday_cd4,iedea_2020_site_survey_english,,yesno,"5.7 In 2019, were same-day/point of care (POC) CD4 count results routinely available at this health facility?

<i><u>Routinely available</u>, means that the test 
could be requested or performed, when needed.</i>",,,,,,,[lab_cd4_b] = '1' or [lab_cd4_b] = '23',y,RH,,,,
care_preart,iedea_2020_site_survey_english,,yesno,"5.8 	Did this HIV clinic provide care to any pre-ART patients in 2019 (i.e., patients who were enrolled in HIV care but had not initiated ART)? 

<i>If all patients initiate ART elsewhere prior to enrollment in HIV care at this clinic, please select ""No"". Otherwise, please select ""Yes"". </i>",,,,,,,,y,RH,,,,
meds_pre_art_type_b,iedea_2020_site_survey_english,,checkbox,"5.9 What medications were routinely provided to <i><u>pre-ART patients</i></u> (or routinely prescribed if this clinic does not provide medications directly)?  


<i>Check all that apply OR select ""None"". </i>

<i><u>Routinely</u> provided means provided as the  standard of care.</i>","77, None | 2, Isoniazid  (or other TB preventive therapies, i.e. 3 HP, etc.) | 3, Vitamin supplements (i.e., multivitamins) | 88, Other",,,,,,[care_preart]='1',y,,,,, @NONEOFTHEABOVE=77
other_specify8,iedea_2020_site_survey_english,,text,"5.9a. If Other, please specify",,,,,,,[meds_pre_art_type_b(88)] = '1',y,,,,,
missapp_art_naive,iedea_2020_site_survey_english,,checkbox,"5.10 What was done if <u>pre-ART patients</u> missed an appointment or did not return for ART services?   




<i>Check all that apply OR select 
""Nothing/No routine follow-up tracing"".</i>","77, Nothing <i>(No routine follow-up tracing of pre-ART patients)</i> | 1, Phone call to individual and/or family | 2, Send message via letter, email, SMS, or online patient portal | 3, Home visit by clinic staff or community outreach worker | 4, Outreach by peer supporter/mentor | 88, Other",,,,,,[care_preart]='1',y,,,,, @NONEOFTHEABOVE=77
other_specify_artnaive,iedea_2020_site_survey_english,,text,"5.10a If Other, please specify",,,,,,,[missapp_art_naive(88)] = '1',y,,,,,
criteria_art_c_2,iedea_2020_site_survey_english,,checkbox,"5.11 By December 2019, what were the <u>criteria for ART initiation</u> at this health facility? 



<i>Select all that apply or select ""Start all patients on ART""</i>
","1, Start <u>all</u> patients on ART regardless of CD4 or clinical criteria | 2, Start <u>some</u> patients on ART regardless of CD4 /clinical criteria | 3, CD4 count ≤500 cell/mm<sup>3</sup> for all or some patients | 4, CD4 count ≤350 cell/mm<sup>3</sup> for all or some patients | 88, Other criteria",,,,,,[care_preart]='1',y,,,,, @NONEOFTHEABOVE='1'
criteria_art_some,iedea_2020_site_survey_english,,text,"5.11a If Start some patients on ART, please specify criteria
",,,,,,,[criteria_art_c_2(2)] = '1',y,,,,,
criteria_art_88_spec_c,iedea_2020_site_survey_english,,text,"5.11b If Other criteria, please specify
",,,,,,,[criteria_art_c_2(88)] = '1',y,,,,,
art_time2_b,iedea_2020_site_survey_english,,radio,"5.12 How soon after confirming HIV diagnoses and/or treatment eligibility did patients generally initiate ART in 2019?

<i>Check one best response.</i>
","1, Same day that ART eligibility is established | 2, 1 to 7 days after establishing ART eligibility | 3, 8 to 14 days after establishing ART eligibility | 4, 2-4 weeks after establishing ART eligibility | 5, >1 month after establishing ART eligibility",,,,,,[care_preart]='1',y,,,,,
art_visits,iedea_2020_site_survey_english,,radio,"5.13 At this clinic, how many ART readiness counseling sessions were typically conducted before eligible patients initiated ART in 2019?

<i>Check one best response</i>","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 or more sessions",,,,,,[care_preart]='1',y,,,,,
visits_stable_art,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">6. ART MONITORING, ADHERENCE & RETENTION STRATEGIES 
<i>Describe practices/service delivery prior to COVID-19 </i></div>",radio,"6.1 In 2019, what was the standard frequency of refills for patients who are stable on ART?

<i>Check one best response</i>","1, Monthly | 2, Every 3 months | 3, Every 6 Months | 88, Other",,,,,,[care_preart]='1' OR [care_preart]='0' OR [care_preart]='',y,,,,,
other_specify21,iedea_2020_site_survey_english,,text,"6.1a If Other, please specify",,,,,,,[visits_stable_art] = '88',y,,,,,
meds_art,iedea_2020_site_survey_english,,checkbox,"6.2 In 2019, how was ART medication adherence routinely monitored in patients at this HIV clinic? 

	
<i>Check all that apply OR select ""Not applicable"".


<u>Routinely monitored</u> means monitored as the  standard of care.</i>
","77, Not applicable  <i>(Medication adherence not routinely monitored)</i> | 1, Unstructured assessment of adherence by clinician | 2, Structured assessment of adherence by clinician using recall instrument (e.g., recall of missed doses during 24-hour, 3-day, 7-day, 30-day, or other recall period). | 3, Pill counts | 4, Pharmacy refills | 5, Electronic dose monitoring (MEMS caps) | 6, Directly observed treatment | 7, Routine viral loads | 8, Viral loads for patients suspected of non-adherence. | 88, Other",,,,,,,y,,,,, @NONEOFTHEABOVE=77
other_specify13,iedea_2020_site_survey_english,,text,"6.2a If Other, please specify",,,,,,,[meds_art(88)] = '1',y,,,,,
services_art_type,iedea_2020_site_survey_english,,checkbox,"6.3 What ART adherence support services were routinely provided to HIV patients at this HIV clinic in 2019? 


<i>Check all that apply OR select ""None/Not applicable"".


<u>Routinely provided</u> means provided as part of standard care.</i>","77, None/Not applicable | 1, One-on-one adherence counseling | 2, Group adherence counseling | 3, Individual mental health counseling | 4, Group mental health counseling | 5, Referral to peer support or mentor groups | 88, Other",,,,,,,y,,,,, @NONEOFTHEABOVE=77
other_specify14,iedea_2020_site_survey_english,,text,"6.3a If Other, please specify",,,,,,,[services_art_type(88)] = '1',y,,,,,
reminders_art_type,iedea_2020_site_survey_english,,checkbox,"6.4 Which of the following types of adherence aids/reminders were routinely provided to <i><u>ART patients? </i></u>



<i>Check all that apply OR select ""None/Not applicable"".


 <u>Routinely provided</u> means provided as the  standard of care.</i>","77, None/Not applicable | 1, Patient education media (written, pictorial, video, etc.) | 2, Pill boxes or blister packs | 3, Calendars, checklists, or other reminders | 4, Alarm clocks, wrist watches, beepers | 5, Counseling by pharmacist/pharmacy staff | 6, Routine review of medication pick up | 88, Other",,,,,,,y,,,,, @NONEOFTHEABOVE=77
other_specify15,iedea_2020_site_survey_english,,text,"6.4a If Other, please specify",,,,,,,[reminders_art_type(88)] = '1',y,,,,,
sms_retention_b,iedea_2020_site_survey_english,,checkbox,"6.5 In 2019, did this clinic utilize text or voice messaging to support any of the following:

<i> Check all that apply OR select None/Not applicable</i>","77, None/Not applicable | 1, Adherence to medication | 2, Adherence to appointments | 3, Follow-up of missed appointments | 4, Educational messaging",,,,,,,y,,,,, @NONEOFTHEABOVE='77'
desc_6_6,iedea_2020_site_survey_english,,descriptive,"6.6 	During 2019, where were the following <u>tests</u> typically performed for patients enrolled in care at this HIV clinic? 


<i>Confirm whether diagnostic services are provided in the HIV clinic AND/OR elsewhere at the same health facility, only off-site, or were not available for routine patient care.</i>",,,,,,,,,,,,,
qualitative_pcr_vl,iedea_2020_site_survey_english,,checkbox,6.6a Quantitative PCR for HIV viral load assay,"1, Provided in <br>HIV Clinic | 2, In same health facility<br> (but not at HIV clinic) | 3, Only offsite<br> (referral) | 77, Not available",,,,,,,y,,,labs,," @NONEOFTHEABOVE=3,77"
genotypic_dr_testing,iedea_2020_site_survey_english,,checkbox,6.6b HIV-1 genotypic drug resistance testing,"1, Provided in <br>HIV Clinic | 2, In same health facility<br> (but not at HIV clinic) | 3, Only offsite<br> (referral) | 77, Not available",,,,,,,y,,,labs,," @NONEOFTHEABOVE=3,77"
poc_pcr_rna,iedea_2020_site_survey_english, ,yesno,"6.7	In 2019, was same-day/point of care (POC) RNA PCR HIV viral load testing routinely available at this health facility? 


<i><u>Routinely available</u> means that the test could be requested or performed any time, when needed.</i>
",,,,,,,,y,RH,,,,
tat_vl_days,iedea_2020_site_survey_english,,text,"6.8 During 2019, what was the usual turnaround time (in days) for getting viral load test results? 

<i><u>Turnaround time</u> means the time from ordering or referring a patient for the test to the time when results are received.

Enter number of days, or NA if viral load testing not available
",,"enter number of days, or NA if VL testing not available",,,,,,y,,,,,
intro_2,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">7. ROUTINE CARE OF ENROLLED HIV PATIENTS 
<i>Describe practices/service delivery prior to COVID-19</i></div>",descriptive,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:18px; color: #000000; text-align:center;padding:10px;"">ROUTINE SCREENING DURING FOLLOW UP</div>
",,,,,,,,,,,,,
desc_7_1,iedea_2020_site_survey_english,,descriptive,"7.1. 	Which of the following <u>screenings</u> were <u>regularly performed during follow-up visits</u> for enrolled HIV patients and where was screening typically conducted?

<i>Check one best response.</i></div>",,,,,,,,,,,,,
ltbi_screening,iedea_2020_site_survey_english,,radio,7.1a. Testing for latent tuberculosis infection (LTBI),"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
tb_screening,iedea_2020_site_survey_english,,radio,7.1b. Screening for tuberculosis (TB) disease,"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
sti_screening,iedea_2020_site_survey_english,,radio,7.1c. Screening for sexually transmitted infections (STIs),"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
hbv_screening,iedea_2020_site_survey_english,,radio,7.1d. Screening for Hepatitis B virus (HBV),"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
hcv_screening,iedea_2020_site_survey_english,,radio,7.1e. Screening for Hepatitis C virus (HCV),"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
sud_screening,iedea_2020_site_survey_english,,radio,7.1f. Screening for alcohol and substance use disorders,"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
mhd_screening,iedea_2020_site_survey_english,,radio,7.1g. Screening for mental health disorders,"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
cervical_ca_screening,iedea_2020_site_survey_english,,radio,7.1h. Cervical cancer screening (visual inspection /PAP smear),"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
anal_pap_screening,iedea_2020_site_survey_english,,radio,7.1i. Anal PAP screening,"1, Provided in <br>HIV Clinic | 2, In same health facility (but not at HIV clinic) | 3, Only offsite (referral) | 77, Not available",,,,,,,y,,,screening_services,,
intro_3,iedea_2020_site_survey_english,,descriptive,"<div style=""border: 1px solid #19B5FE;background: #FDFEFE; font-size:18px; color: #000000; text-align:center;padding:10px;"">COUNSELING SERVICES FOR HIV POSITIVE PATIENTS
<i>Describe practices/service delivery prior to COVID-19</i></div>
",,,,,,,,,,,,,
desc_7_2,iedea_2020_site_survey_english,,descriptive,"7.2 Which of the following <u>counseling services</u> were <u>provided to enrolled HIV patients</u> and where were these services typically provided?

<i>Check one best response.</i></div>",,,,,,,,,,,,,
counsel_disclosure_b,iedea_2020_site_survey_english,,radio,7.2a. Counseling regarding disclosure to sexual partners,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_1,,
safesex_method_b,iedea_2020_site_survey_english,,radio,7.2b Education on sexual behavior and safer sex practices,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_1,,
family_plan_b,iedea_2020_site_survey_english,,radio,7.2c Family planning counseling,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_1,,
harm_reduction_b,iedea_2020_site_survey_english,,radio,7.2d Education on high-risk substance-use behaviors and harm reduction  practices,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_1,,
intro_4,iedea_2020_site_survey_english,,descriptive,"<div style=""border: 1px solid #19B5FE;background: #FDFEFE; font-size:18px; color: #000000; text-align:center;padding:10px;"">OTHER PREVENTIVE AND TREATMENT SERVICES FOR HIV POSITIVE PATIENTS</div>
",,,,,,,,,,,,,
dest_7_3,iedea_2020_site_survey_english,,descriptive,"7.3 	During 2019, which of the following <u>preventive and treatment services</u> were provided to <u>enrolled HIV patients</u> and where were these services typically provided?

<i>Check one best response.</i></div>",,,,,,,,,,,,,
prov_condoms_b,iedea_2020_site_survey_english,,radio,7.3a Condoms,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
prep,iedea_2020_site_survey_english,,radio,7.3b Pre-exposure prophylaxis (PrEP),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
pep,iedea_2020_site_survey_english,,radio,7.3c Post-exposure prophylaxis (PEP),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
male_circum_b,iedea_2020_site_survey_english,,radio,7.3d Voluntary male circumcision services,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
famplan_methods_b,iedea_2020_site_survey_english,,radio,7.3e Family planning/contraceptive methods other than condoms,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
tx_depression,iedea_2020_site_survey_english,,radio,7.3f Treatment/management of depression,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
tx_ptsd,iedea_2020_site_survey_english,,radio,7.3g Treatment/management of post-traumatic stress disorder (PTSD),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
tx_anxiety,iedea_2020_site_survey_english,,radio,7.3h Treatment/management of anxiety disorders (other than PTSD),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
tx_alcohol,iedea_2020_site_survey_english,,radio,7.3i Treatment for alcohol use disorders,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
tx_sud,iedea_2020_site_survey_english,,radio,7.3j Treatment for substance abuse disorders (other than alcohol),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
hpv_vacc_b,iedea_2020_site_survey_english,,radio,7.3k HPV vaccine,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
pneumococcal_vacc,iedea_2020_site_survey_english,,radio,7.3l Pneumococcal vaccine,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
hepa_vacc,iedea_2020_site_survey_english,,radio,7.3m Hepatitis A vaccine,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
hepb_vacc,iedea_2020_site_survey_english,,radio,7.3n Hepatitis B vaccine,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,prev_services_0,,
intro_5,iedea_2020_site_survey_english,,descriptive,"<div style=""border: 1px solid #19B5FE;background: #FDFEFE; font-size:18px; color: #000000; text-align:center;padding:10px;"">LABORATORY AND DIAGNOSTIC TESTING SERVICES FOR HIV POSITIVE PATIENTS</div>
",,,,,,,,,,,,,
desc_7_4,iedea_2020_site_survey_english,,descriptive,"7.4 	During 2019, where were the following laboratory and diagnostic tests typically performed for patients enrolled in care at your HIV clinic?

<i>Check one best response.</i></div>",,,,,,,,,,,,,
cbc,iedea_2020_site_survey_english,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:14px; color: #000000; text-align:left;padding:10px;""><u>Routine laboratory monitoring</u></div>",radio,"7.4a Complete blood count (e.g, platelets, hematocrit, lymphocytes, hemoglobin)","1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,laboratory,,
glucose,iedea_2020_site_survey_english,,radio,7.4b Glucose,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,laboratory,,
creatinine_labs,iedea_2020_site_survey_english,,radio,7.4c Creatinine,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,laboratory,,
cholesterol,iedea_2020_site_survey_english,,radio,7.4d Cholesterol,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,laboratory,,
ast_alt,iedea_2020_site_survey_english,,radio,7.4e AST (SGOT) and/or ALT (SGPT),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,laboratory,,
hepv,iedea_2020_site_survey_english,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:14px; color: #000000; text-align:left;padding:10px;""><u>Infectious disease testing</u></div>",radio,7.4f Hepatitis B virus (HBV),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,labs_dx,,
hepc,iedea_2020_site_survey_english,,radio,7.4g Hepatitis C virus (HCV),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,labs_dx,,
syphilis,iedea_2020_site_survey_english,,radio,7.4h Syphilis testing (RPR/TPHA/ VDRL),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,labs_dx,,
stis,iedea_2020_site_survey_english,,radio,7.4i STIs other than syphilis,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,labs_dx,,
crypto_antigen,iedea_2020_site_survey_english,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:14px; color: #000000; text-align:left;padding:10px;""><u>Other screening & diagnostics</u></div>",radio,7.4j Cryptococcal meningitis screening (serum cryptococcal antigen or lateral flow assay),"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,other_labs,,
crypto_csfindia,iedea_2020_site_survey_english,,radio,7.4k Cryptococcal meningitis diagnosis by CSF India Ink or latex agglutination,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,other_labs,,
ultrasound,iedea_2020_site_survey_english,,radio,7.4l Ultrasound for liver disease management,"1, Provided in <br>HIV Clinic | 2, In same health facility <br>(but not at HIV clinic) | 3, Only offsite <br>(referral) | 77, Not available",,,,,,,y,,,other_labs,,
intro_6,iedea_2020_site_survey_english,,descriptive,"<div style=""border: 1px solid #19B5FE;background: #FDFEFE; font-size:18px; color: #000000; text-align:center;padding:10px;"">FEES/CHARGES FOR HIV-RELATED CARE AND SERVICES</div>
",,,,,,,,,,,,,
desc_7_5,iedea_2020_site_survey_english,,descriptive,"7.5	During 2019, did HIV patients typically pay any fees (other than insurance co-pays) for the following types of routine and specialized services? 	

<i>Please indicate if patients paid fees other than insurance co-pays. Select NA for services not available for routine care.</i>",,,,,,,,,,,,,
routine_visits,iedea_2020_site_survey_english,,radio,7.5a Routine clinic visits or consultations,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
specialty_visits,iedea_2020_site_survey_english,,radio,7.5b Specialty clinic visits or consultations,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
first_line_art,iedea_2020_site_survey_english,,radio,7.5c First line ART regimens,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
second_line_art,iedea_2020_site_survey_english,,radio,7.5d Second line ART regimens,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
tb_meds,iedea_2020_site_survey_english,,radio,7.5e TB medications,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
oi_meds,iedea_2020_site_survey_english,,radio,"7.5f Opportunstic Infection (OI) medications (e.g., Bactrim, Cotrimoxazole, Septra, TMP-SMX)","1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
hepc_meds,iedea_2020_site_survey_english,,radio,7.5g Hepatitis C antiviral medication,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
mh_tx,iedea_2020_site_survey_english,,radio,"7.5h Mental health disorder treatment (e.g. medication, counseling, psychotherapy)","1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
psychiatric_meds,iedea_2020_site_survey_english,,radio,7.5i Psychiatric medications,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
sud_tx,iedea_2020_site_survey_english,,radio,"7.5j Substance use disorder treatment (e.g. medication, counseling, psychotherapy)","1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees,,
